EVENTTYPESEQ	COMPENSATIONDATE	ISRUNNABLE	PRODUCTNAME	GENERICATTRIBUTE1	VALUE
8881	01-18-2013 00:00:00	0	Services	"PAS, Inc"	2160
8705	01-18-2013 00:00:00	0	Webcom	"Sales Staff, LLC"	3024
8705	01-18-2013 00:00:00	0	Litmos	T2 Systems	3289
8881	01-28-2013 00:00:00	0	Webcom	Atlas Copco- CTS	7200
8705	01-28-2013 00:00:00	0	Webcom	Technodomus S.A. de C.V.	6720
8881	01-28-2013 00:00:00	0	Services	Technodomus S.A. de C.V.	15000
8881	01-28-2013 00:00:00	0	Training	Technodomus S.A. de C.V.	1200
8705	01-31-2013 00:00:00	0	Maintenance	Wellpoint	11209
8982	01-31-2013 00:00:00	0	Term License	Energy Systems LLC.	20790
8705	01-31-2013 00:00:00	0	Monaco	Xirrus	20160
8705	01-31-2013 00:00:00	0	Monaco	Lexis Nexis Group	195000
8881	01-31-2013 00:00:00	0	Services	"Kaiser Foundation Hospitals, Inc. : Kaiser ROC"	1840
8705	01-31-2013 00:00:00	0	Litmos	AVG AU/NZ	588
8705	01-31-2013 00:00:00	0	Litmos	Value Selling Associates	17988
8982	01-31-2013 00:00:00	0	iCentera	TransUnion	151360
8881	01-31-2013 00:00:00	0	Services	Bank Of New York Mellon Corp	16145
8982	01-31-2013 00:00:00	0	Monaco	"WellCare Health Plans, Inc."	189000
8705	01-31-2013 00:00:00	0	Monaco	Novartis Pharma AG	113760
8881	01-31-2013 00:00:00	0	Services	Novartis Pharma AG	65000
8705	01-31-2013 00:00:00	0	Litmos	Infact Social Performance Solutions	7788
8705	01-31-2013 00:00:00	0	BPO	Covad Communications Company	800
8881	01-31-2013 00:00:00	0	Services	Great Eastern Life Assurance Co. Ltd.	10795
8881	01-31-2013 00:00:00	0	Training	Infosys Limited	15000
8705	01-31-2013 00:00:00	0	Monaco	Novartis Pharma AG	3000
8881	01-31-2013 00:00:00	0	Services	Novartis Pharma AG	5000
8705	01-31-2013 00:00:00	0	Monaco	American Airlines	38880
8705	01-31-2013 00:00:00	0	Training	American Airlines	6500
8981	01-31-2013 00:00:00	0		American Airlines	0
8881	01-31-2013 00:00:00	0	Services	AIA Singapore Private Limited	360000
8705	01-31-2013 00:00:00	0	Monaco	Amgen U.S.A. Inc.	35304
8982	01-31-2013 00:00:00	0	Monaco	Home Depot	295000
8705	01-31-2013 00:00:00	0	Litmos	Fusion-io	9588
8705	01-31-2013 00:00:00	0	Rapid Intake	Fusion-io	2006
8705	01-31-2013 00:00:00	0	Litmos	Whitbread Insurance	1188
8705	01-31-2013 00:00:00	0	Rapid Intake	Barrick Gold Corp.	4765
8705	01-31-2013 00:00:00	0	Webcom	Atlas Copco MultiBrand	141504
8982	01-31-2013 00:00:00	0	Webcom	Telstra International Limited	53995
9182	01-31-2013 00:00:00	0	Maintenance	Wellpoint	555453
8982	01-31-2013 00:00:00	0	Webcom	Tufin	13824
8705	01-31-2013 00:00:00	0	Webcom	Tufin	4255
8982	01-31-2013 00:00:00	0	Webcom	Atlas Copco Construction Mining Technique USA	12000
8705	01-31-2013 00:00:00	0	Webcom	Atlas Copco Construction Mining Technique USA	240
8705	01-31-2013 00:00:00	0	Webcom	University of Medicine & Dentistry of New Jersey	5280
8982	01-31-2013 00:00:00	0	Webcom	Tripwire	4200
8705	01-31-2013 00:00:00	0	Webcom	EarthLink Managed Services	6000
8709	01-31-2013 00:00:00	0		"USHealth Group, Inc."	1885
8709	01-31-2013 00:00:00	0		"USHealth Group, Inc."	283
8709	01-31-2013 00:00:00	0		BlueCross BlueShield of Michigan	3600
8709	01-31-2013 00:00:00	0		BlueCross BlueShield of Michigan	270
8709	01-31-2013 00:00:00	0		"Medtronic, Inc."	1300
8709	01-31-2013 00:00:00	0		"Medtronic, Inc."	98
8709	01-31-2013 00:00:00	0		BlueCross BlueShield of Michigan	5477
8709	01-31-2013 00:00:00	0		BlueCross BlueShield of Michigan	411
8709	01-31-2013 00:00:00	0		Verizon Business -1	86657
8709	01-31-2013 00:00:00	0		Verizon Business -1	16119
8709	01-31-2013 00:00:00	0		Verizon Business -1	7560
8709	01-31-2013 00:00:00	0		Arris Solution Inc.	788
8709	01-31-2013 00:00:00	0		Arris Solution Inc.	236
8709	01-31-2013 00:00:00	0		Arris Solution Inc.	118
8709	01-31-2013 00:00:00	0		Citrix Systems Inc	17622
8709	01-31-2013 00:00:00	0		Citrix Systems Inc	2643
8709	01-31-2013 00:00:00	0		Citrix Systems Inc	1322
8709	01-31-2013 00:00:00	0		Citrix Systems Inc	4637
8709	01-31-2013 00:00:00	0		Citrix Systems Inc	1546
8709	01-31-2013 00:00:00	0		Citrix Systems Inc	773
8709	01-31-2013 00:00:00	0		"Biogen Idec, Inc."	2750
8709	01-31-2013 00:00:00	0		"Biogen Idec, Inc."	825
8709	01-31-2013 00:00:00	0		"Biogen Idec, Inc."	413
8709	01-31-2013 00:00:00	0		"Navisite, Inc."	3150
8709	01-31-2013 00:00:00	0		"Navisite, Inc."	945
8709	01-31-2013 00:00:00	0		"Navisite, Inc."	473
8709	01-31-2013 00:00:00	0		First Data Corp (FDC)	146248
8709	01-31-2013 00:00:00	0		First Data Corp (FDC)	34223
8709	01-31-2013 00:00:00	0		First Data Corp (FDC)	11408
8709	01-31-2013 00:00:00	0		Value Selling Associates	1053
8709	01-31-2013 00:00:00	0		Value Selling Associates	309
8709	01-31-2013 00:00:00	0		Value Selling Associates	154
8709	01-31-2013 00:00:00	0		Quantum Corp	721
8709	01-31-2013 00:00:00	0		Quantum Corp	240
8709	01-31-2013 00:00:00	0		Quantum Corp	120
8709	01-31-2013 00:00:00	0		Amgen Inc.	2250
8709	01-31-2013 00:00:00	0		Amgen Inc.	750
8709	01-31-2013 00:00:00	0		Amgen Inc.	375
8709	01-31-2013 00:00:00	0		Cree Inc.	170
8709	01-31-2013 00:00:00	0		Cree Inc.	25
8709	01-31-2013 00:00:00	0		Cree Inc.	13
8709	01-31-2013 00:00:00	0		Novartis Pharma AG	31
8709	01-31-2013 00:00:00	0		Novartis Pharma AG	250
8709	01-31-2013 00:00:00	0		Novartis Pharma AG	63
8709	01-31-2013 00:00:00	0		American Airlines	1089
8705	02-01-2013 00:00	0	Monaco	"ESPN, Inc"	34719
8982	02-01-2013 00:00	0	Monaco	"ESPN, Inc"	8085
9182	02-12-2013 00:00	0	Maintenance	Unisys Corporation	20580
8705	02-12-2013 00:00	0	Maintenance	Unisys Corporation	1029
9182	02-12-2013 00:00	0	Maintenance	Verizon Services Corp	100700
8705	02-12-2013 00:00	0	Maintenance	Verizon Services Corp	5035
8982	02-20-2013 00:00:00	0	Monaco	Natus Medical Inc.	14400
8982	02-21-2013 00:00:00	0	Monaco	"ESPN, Inc"	146715
8705	02-21-2013 00:00:00	0	Monaco	"ESPN, Inc"	7336
9182	02-22-2013 00:00:00	0	Maintenance	Church Mutual Insurance Company	37100
8982	02-25-2013 00:00:00	0	iCentera	SendWordNow	6972
8705	02-25-2013 00:00:00	0	iCentera	SendWordNow	349
9182	02-25-2013 00:00:00	0	Maintenance	Mentor Graphics Corporation	106598
8705	02-25-2013 00:00:00	0	Maintenance	Mentor Graphics Corporation	5324
9185	02-27-2013 00:00:00	0	On-Premise License	Blue Shield of California (CA Physicians' Service)	600000
8881	02-27-2013 00:00:00	0	Services	Blue Shield of California (CA Physicians' Service)	800000
8705	02-27-2013 00:00:00	0	Maintenance	Blue Shield of California (CA Physicians' Service)	0
8705	02-27-2013 00:00:00	0	Actek	Blue Shield of California (CA Physicians' Service)	0
9182	02-27-2013 00:00:00	0	Maintenance	WestPac Banking Corporation	15133
8705	02-27-2013 00:00:00	0	Maintenance	WestPac Banking Corporation	757
8881	02-28-2013 00:00:00	0	Services	Value Selling Associates	2350
8705	02-28-2013 00:00:00	0	Litmos	Exemplis	3588
8705	02-28-2013 00:00:00	0	Litmos	ClearStructure Financial Technology	1188
8705	02-28-2013 00:00:00	0	Litmos	SanMar Corporation	1188
8705	02-28-2013 00:00:00	0	Litmos	Shiloh Technologies	1188
8881	02-28-2013 00:00:00	0	Services	"TriNet Group, Inc."	85640
8881	02-28-2013 00:00:00	0	Services	Verizon Business	579000
8982	02-28-2013 00:00:00	0	iCentera	THOMSON REUTERS CORPORATION	63984
8705	02-28-2013 00:00:00	0	iCentera	THOMSON REUTERS CORPORATION	18179
8705	02-28-2013 00:00:00	0	BPO	"Western & Southern Financial Group, Inc."	13000
8881	02-28-2013 00:00:00	0	Training	"Western & Southern Financial Group, Inc."	10000
8705	02-28-2013 00:00:00	0	Litmos	DMK	4916
8982	02-28-2013 00:00:00	0	Monaco	BlueCross BlueShield of North Carolina	769640
8705	02-28-2013 00:00:00	0	Litmos	Immerge	1188
8881	02-28-2013 00:00:00	0	Services	TELCEL	36520
8982	02-28-2013 00:00:00	0	Managed Services	Ecolab USA Inc.	245000
8705	02-28-2013 00:00:00	0	Webcom	"Cincinnati Bell, Inc"	108462
8881	02-28-2013 00:00:00	0	Webcom	"Cincinnati Bell, Inc"	199125
8705	02-28-2013 00:00:00	0	Training	NetApp	6500
8881	02-28-2013 00:00:00	0	Training	NetApp	1800
8982	02-28-2013 00:00:00	0	Monaco	"Konica Minolta Business Solutions U.S.A., Inc."	448500
8705	02-28-2013 00:00:00	0	Monaco	"Konica Minolta Business Solutions U.S.A., Inc."	33672
8705	02-28-2013 00:00:00	0	Monaco	LANDesk Software	16767
8881	02-28-2013 00:00:00	0	Training	LANDesk Software	2000
8705	02-28-2013 00:00:00	0	Monaco	LANDesk Software	7128
8982	02-28-2013 00:00:00	0	Monaco	LANDesk Software	21060
8982	02-28-2013 00:00:00	0	Monaco	Payment Processing Inc.	52800
8705	02-28-2013 00:00:00	0	Monaco	Payment Processing Inc.	14400
8705	02-28-2013 00:00:00	0	Webcom	"Logicalis, Inc."	84000
8881	02-28-2013 00:00:00	0	Webcom	"Logicalis, Inc."	153288
8881	02-28-2013 00:00:00	0	Services	Pfizer Inc	20125
8982	02-28-2013 00:00:00	0	Monaco	Pfizer Inc	0
8881	02-28-2013 00:00:00	0	Webcom	Schneider Electric	5780
8881	02-28-2013 00:00:00	0	Webcom	Trinet	5760
8881	02-28-2013 00:00:00	0	Webcom	Elliot Group	96800
8881	02-28-2013 00:00:00	0	Webcom	WaveMark	1440
8881	02-28-2013 00:00:00	0	Webcom	InfoSys Training	15000
8881	02-28-2013 00:00:00	0	Webcom	Schneider Electric	46660
8705	02-28-2013 00:00:00	0	Webcom	ThaiPollutech	849
8982	02-28-2013 00:00:00	0	Webcom	Beam Communications	1100
8705	02-28-2013 00:00:00	0	Webcom	OnePointe Solutions	210
8982	02-28-2013 00:00:00	0	Webcom	OnePointe Solutions	4200
8705	02-28-2013 00:00:00	0	BPO	Vivo SA	2678
8981	02-28-2013 00:00:00	0	Webcom	"Cincinnati Bell, Inc"	216922
8881	02-28-2013 00:00:00	0	Webcom	Trinet	85640
9182	02-28-2013 00:00:00	0	Maintenance	Vivo SA	180234
8705	02-28-2013 00:00:00	0	Maintenance	Vivo SA	9486
9182	02-28-2013 00:00:00	0	Maintenance	Vivo SA	119803
8705	02-28-2013 00:00:00	0	Maintenance	Vivo SA	6305
9182	02-28-2013 00:00:00	0	Maintenance	Vivo SA	10176
8705	02-28-2013 00:00:00	0	Maintenance	Vivo SA	536
8982	02-28-2013 00:00:00	0	BPO	Vivo SA	50880
8709	02-28-2013 00:00:00	0	Webcom	"Cincinnati Bell, Inc"	1000
8705	02-28-2013 00:00:00	0	Litmos	Precision Academy	-2700
8709	02-28-2013 00:00:00	0		"MetroPCS Wireless, Inc."	3357
8709	02-28-2013 00:00:00	0		"MetroPCS Wireless, Inc."	1009
8709	02-28-2013 00:00:00	0		"MetroPCS Wireless, Inc."	504
8709	02-28-2013 00:00:00	0		"Western & Southern Financial Group, Inc."	848
8709	02-28-2013 00:00:00	0		"Western & Southern Financial Group, Inc."	254
8709	02-28-2013 00:00:00	0		"Western & Southern Financial Group, Inc."	127
8709	02-28-2013 00:00:00	0		"Juniper Networks, Inc."	2315
8709	02-28-2013 00:00:00	0		"Juniper Networks, Inc."	386
8709	02-28-2013 00:00:00	0		Electronics for Imaging (EFI)	390
8709	02-28-2013 00:00:00	0		Electronics for Imaging (EFI)	195
8709	02-28-2013 00:00:00	0		Sprint -Nextel	754
8709	02-28-2013 00:00:00	0		Sprint -Nextel	70
8709	02-28-2013 00:00:00	0		Sprint -Nextel	35
8709	02-28-2013 00:00:00	0		JP Morgan Chase Bank	1172
8709	02-28-2013 00:00:00	0		JP Morgan Chase Bank	78
8709	02-28-2013 00:00:00	0		JP Morgan Chase Bank	39
8709	02-28-2013 00:00:00	0		"Novartis Vaccines and Diagnostics, Inc."	1875
8709	02-28-2013 00:00:00	0		"Novartis Vaccines and Diagnostics, Inc."	563
8709	02-28-2013 00:00:00	0		"Novartis Vaccines and Diagnostics, Inc."	281
8709	02-28-2013 00:00:00	0		"Zimmer Holdings, Inc. -1"	6318
8709	02-28-2013 00:00:00	0		"Zimmer Holdings, Inc. -1"	1939
8709	02-28-2013 00:00:00	0		"Zimmer Holdings, Inc. -1"	969
8709	02-28-2013 00:00:00	0		Great Eastern Life Assurance Co. Ltd.	254
8709	02-28-2013 00:00:00	0		Lexis Nexis Group	8775
8709	02-28-2013 00:00:00	0		Lexis Nexis Group	2365
8709	02-28-2013 00:00:00	0		Lexis Nexis Group	857
8709	02-28-2013 00:00:00	0		TransUnion	227
8709	02-28-2013 00:00:00	0		TransUnion	57
8709	02-28-2013 00:00:00	0		TransUnion	57
8709	02-28-2013 00:00:00	0		Affymax	510
8709	02-28-2013 00:00:00	0		Affymax	128
8709	02-28-2013 00:00:00	0		Affymax	128
8709	02-28-2013 00:00:00	0		"Western & Southern Financial Group, Inc."	1000
8709	02-28-2013 00:00:00	0		Experian Information Solutions Inc.	1286
8709	02-28-2013 00:00:00	0		Experian Information Solutions Inc.	386
8709	02-28-2013 00:00:00	0		Experian Information Solutions Inc.	193
8982	03-01-2013 00:00	0	BPO	ADP Inc	82692
8705	03-01-2013 00:00	0	BPO	ADP Inc	4134
9182	03-01-2013 00:00	0	Maintenance	Wellpoint	828080
9182	03-06-2013 00:00	0	Maintenance	Lowes Companies Inc	60480
8982	03-07-2013 00:00	0	iCentera	Motorola Solutions	210000
8705	03-07-2013 00:00	0	iCentera	Motorola Solutions	282600
9182	03-11-2013 00:00	0	Maintenance	CDW Corporation	343710
9182	03-15-2013 00:00:00	0	Maintenance	Vodafone New Zealand	0
8705	03-15-2013 00:00:00	0	Maintenance	Vodafone New Zealand	0
8982	03-15-2013 00:00:00	0	iCentera	Micropact	4000
8705	03-15-2013 00:00:00	0	Monaco	"Wells Fargo Bank, N.A"	63900
8982	03-26-2013 00:00:00	0	Monaco	TWG Holdings Inc.	154215
9182	03-26-2013 00:00:00	0	Maintenance	HSBC	54698
8705	03-26-2013 00:00:00	0	Maintenance	HSBC	2735
8705	03-26-2013 00:00:00	0	Monaco	JDS Uniphase	60690
8705	03-26-2013 00:00:00	0	Monaco	JDS Uniphase	19200
8981	03-26-2013 00:00:00	0	Monaco	JDS Uniphase	159780
8705	03-27-2013 00:00:00	0	Rapid Intake	Mentor	1839
8705	03-27-2013 00:00:00	0	Monaco	DIRECTV Latin America	240000
8981	03-27-2013 00:00:00	0	Monaco	DIRECTV Latin America	480000
8982	03-27-2013 00:00:00	0	Monaco	DIRECTV Latin America	300000
8981	03-27-2013 00:00:00	0	Monaco	DIRECTV Latin America	600000
8705	03-28-2013 00:00:00	0	Monaco-Compensation Management	Bell Distribution Inc	274000
8705	03-28-2013 00:00:00	0	Monaco-Compensation Management	Bell Distribution Inc	46400
8981	03-28-2013 00:00:00	0	Maintenance	Bell Distribution Inc	46400
8981	03-28-2013 00:00:00	0	Maintenance	Bell Distribution Inc	46400
8982	03-28-2013 00:00:00	0	Monaco	ING Investment Management LLC	36000
8982	03-28-2013 00:00:00	0	Webcom	Lanier Pty Ltd	50643
8705	03-28-2013 00:00:00	0	Webcom	Lanier Pty Ltd	5064
8705	03-28-2013 00:00:00	0	Webcom	Lanier Pty Ltd	1192
8705	03-28-2013 00:00:00	0	Webcom	Lanier Pty Ltd	2622
8982	03-28-2013 00:00:00	0	Webcom	Lanier Pty Ltd	5017
8705	03-28-2013 00:00:00	0	Monaco	"Medtronic, Inc."	376547
8705	03-28-2013 00:00:00	0	BPO	"Medtronic, Inc."	49000
8705	03-28-2013 00:00:00	0	Monaco	"Medtronic, Inc."	49000
8981	03-28-2013 00:00:00	0	Monaco	"Medtronic, Inc."	2033772
8705	03-28-2013 00:00:00	0	Monaco	"Medtronic, Inc."	161377
8705	03-28-2013 00:00:00	0	BPO	"Medtronic, Inc."	21000
8705	03-28-2013 00:00:00	0	Monaco	"Medtronic, Inc."	21000
8982	03-28-2013 00:00:00	0	Monaco	Blue Cross Blue Shield Rhode Island	80400
8881	03-29-2013 00:00:00	0	Services	Cree Inc.	5688
8982	03-29-2013 00:00:00	0	Monaco	Lexis Nexis Group	351086
8705	03-29-2013 00:00:00	0	Monaco	EMC Corporation -1	1600000
8981	03-29-2013 00:00:00	0	Monaco	EMC Corporation -1	1600000
8981	03-29-2013 00:00:00	0	Monaco	EMC Corporation -1	4800000
8982	03-29-2013 00:00:00	0	Monaco	Blue Cross Blue Shield Rhode Island	457440
8705	03-29-2013 00:00:00	0	Webcom	Starrett Kinemetric Engineering Inc.	348
8881	03-29-2013 00:00:00	0	Services	"TriNet Group, Inc."	11280
8982	03-29-2013 00:00:00	0	iCentera	Amadeus	15480
8705	03-29-2013 00:00:00	0	BPO	CDW Corporation	84500
8881	03-29-2013 00:00:00	0	Services	"Kaiser Foundation Hospitals, Inc. : Kaiser Erisa"	12000
8705	03-29-2013 00:00:00	0	Monaco	Cadence	7762
8705	03-29-2013 00:00:00	0	Webcom	"SKC Communications Products, LLC"	39600
8881	03-29-2013 00:00:00	0	Webcom	"SKC Communications Products, LLC"	92600
8981	03-29-2013 00:00:00	0	Webcom	"SKC Communications Products, LLC"	39600
8705	03-29-2013 00:00:00	0	Webcom	"SKC Communications Products, LLC"	39600
8881	03-29-2013 00:00:00	0	Webcom	"SKC Communications Products, LLC"	92600
8981	03-29-2013 00:00:00	0	Webcom	"SKC Communications Products, LLC"	39600
8705	03-29-2013 00:00:00	0	Monaco	Brocade Communications Systems Inc	199785
8982	03-29-2013 00:00:00	0	Monaco	Brocade Communications Systems Inc	379500
8982	03-29-2013 00:00:00	0	Monaco	Brocade Communications Systems Inc	50715
8705	03-29-2013 00:00:00	0	Webcom	Tri-Tronics	7500
8705	03-29-2013 00:00:00	0	Webcom	"All Power America, LLC"	3600
8705	03-29-2013 00:00:00	0	Rapid Intake	"Discover Financial Svcs, Inc"	9305
8705	03-29-2013 00:00:00	0	BPO	Elliot Group	112500
8982	03-29-2013 00:00:00	0	Webcom	"Henry Schein , Inc."	35000
8705	03-29-2013 00:00:00	0	Monaco	"Biogen Idec, Inc."	130410
8881	03-29-2013 00:00:00	0	Services	"Biogen Idec, Inc."	8750
8705	03-29-2013 00:00:00	0	Monaco	Novartis Pharma AG	47400
8982	03-29-2013 00:00:00	0	Monaco	Novartis Pharma AG	12514
8705	03-29-2013 00:00:00	0	Training	ING Investment Management LLC	13000
8705	03-29-2013 00:00:00	0	Monaco	US Bank (Firstar)	115758
8705	03-29-2013 00:00:00	0	Monaco	US Bank (Firstar)	136338
8881	03-29-2013 00:00:00	0	Services	Rogers Communication Inc	58500
8881	03-29-2013 00:00:00	0	Services	Rogers Communication Inc	50000
8982	03-29-2013 00:00:00	0	Monaco	Orgn-3	59950
8705	03-29-2013 00:00:00	0	Webcom	"EarthLink Managed Services, LLC"	36000
8982	03-29-2013 00:00:00	0	Webcom	"EarthLink Managed Services, LLC"	36000
8705	03-29-2013 00:00:00	0	Webcom	"EarthLink Managed Services, LLC"	3600
8981	03-29-2013 00:00:00	0	Webcom	"EarthLink Managed Services, LLC"	14850
8881	03-29-2013 00:00:00	0	Services	"Western & Southern Financial Group, Inc."	156580
8982	03-29-2013 00:00:00	0	Monaco	"Tellabs, Inc."	142000
8705	03-29-2013 00:00:00	0	Monaco	Auto Club Insurance Assoc. - MI	18888
8705	03-29-2013 00:00:00	0	BPO	First Command Financial Planning	198000
8881	03-29-2013 00:00:00	0	Services	First Command Financial Planning	190000
8705	03-29-2013 00:00:00	0	Webcom	"WaveMark, Inc."	714
8982	03-29-2013 00:00:00	0	Webcom	"WaveMark, Inc."	14280
8982	03-29-2013 00:00:00	0	Webcom	Autodesk	62640
8705	03-29-2013 00:00:00	0	Webcom	Autodesk	3132
8981	03-29-2013 00:00:00	0	iCentera	Motorola Solutions	985200
8709	03-29-2013 00:00:00	0		Q1'13 New Logo Spiff	1425
8709	03-29-2013 00:00:00	0		Q1'13 New Logo Spiff	1425
8709	03-29-2013 00:00:00	0		Q1'13 New Logo Spiff	1425
8709	03-29-2013 00:00:00	0		Q1'13 New Logo Spiff	1425
8709	03-29-2013 00:00:00	0		Q1'13 New Logo Spiff	1450
8709	03-29-2013 00:00:00	0		Q1'13 New Logo Spiff	1450
8709	03-29-2013 00:00:00	0		Q1'13 New Logo Spiff	1400
8709	03-29-2013 00:00:00	0	Maintenance	Wellpoint	4140
8709	03-29-2013 00:00:00	0	BPO	ING Investment Management LLC	0
8705	03-30-2013 00:00:00	0	Monaco	Xerox Business Services LLC	32400
8709	03-30-2013 00:00:00	0		"Philips Electronics, NA-Phillips IT Applications"	26389
8709	03-30-2013 00:00:00	0		"Philips Electronics, NA-Phillips IT Applications"	3958
8709	03-30-2013 00:00:00	0		"Philips Electronics, NA-Phillips IT Applications"	1979
8709	03-30-2013 00:00:00	0		Ingersoll-Rand Company	3980
8709	03-30-2013 00:00:00	0		Ingersoll-Rand Company	1305
8709	03-30-2013 00:00:00	0		Ingersoll-Rand Company	653
8709	03-30-2013 00:00:00	0		Novartis Pharma AG	1289
8709	03-30-2013 00:00:00	0		Novartis Pharma AG	387
8709	03-30-2013 00:00:00	0		Novartis Pharma AG	193
8709	03-30-2013 00:00:00	0		Home Depot	1770
8709	03-30-2013 00:00:00	0		Home Depot	443
8709	03-30-2013 00:00:00	0		Home Depot	443
8709	03-30-2013 00:00:00	0		American Airlines	2042
8709	03-30-2013 00:00:00	0		American Airlines	764
8709	03-30-2013 00:00:00	0		American Airlines	200
8709	03-30-2013 00:00:00	0		Amgen U.S.A. Inc.	1589
8709	03-30-2013 00:00:00	0		Amgen U.S.A. Inc.	533
8709	03-30-2013 00:00:00	0		Amgen U.S.A. Inc.	155
8709	03-30-2013 00:00:00	0		Wellpoint	1893
8709	03-30-2013 00:00:00	0		Wellpoint	169
8709	03-30-2013 00:00:00	0		Wellpoint	49
8709	03-30-2013 00:00:00	0		HSBC Hong Kong	1700
8709	03-30-2013 00:00:00	0		HSBC Hong Kong	151
8709	03-30-2013 00:00:00	0		HSBC Hong Kong	44
8709	03-30-2013 00:00:00	0		Novartis Pharma AG	427
8709	03-30-2013 00:00:00	0		Novartis Pharma AG	115
8709	03-30-2013 00:00:00	0		Novartis Pharma AG	49
8709	03-30-2013 00:00:00	0		"ESPN, Inc"	1210
8709	03-30-2013 00:00:00	0		"ESPN, Inc"	309
8709	03-30-2013 00:00:00	0		"ESPN, Inc"	258
8709	03-30-2013 00:00:00	0		LANDesk Software	755
8709	03-30-2013 00:00:00	0		LANDesk Software	0
8709	03-30-2013 00:00:00	0		LANDesk Software	87
8709	03-30-2013 00:00:00	0		LANDesk Software	447
8709	03-30-2013 00:00:00	0		LANDesk Software	32
8709	03-30-2013 00:00:00	0		LANDesk Software	69
8709	03-30-2013 00:00:00	0		Mentor Graphics Corporation	506
8709	03-30-2013 00:00:00	0		Mentor Graphics Corporation	80
8709	03-30-2013 00:00:00	0		Mentor Graphics Corporation	28
8709	03-30-2013 00:00:00	0		Verizon Services Corp	478
8709	03-30-2013 00:00:00	0		Verizon Services Corp	76
8709	03-30-2013 00:00:00	0		Verizon Services Corp	26
8709	03-30-2013 00:00:00	0		"Logicalis, Inc."	3780
8709	03-30-2013 00:00:00	0		"Logicalis, Inc."	1413
